node_id:ID,name
a757,"Oliver, Stephen"
a758,"Fuller, Margaret"
a759,"Pardoe, Miss (Julia)"
a760,"Allen, James Lane"
a761,"Theocritus"
a762,"Wilson, Harry Leon"
a763,"Priest, William"
a764,"Stillman, William James"
a765,"Tarbell, Ida M. (Ida Minerva)"
a766,"Prentiss, George Lewis"
a767,"Squires, Richard C."
a768,"Whittle, D. W. (Daniel Webster)"
a769,"Coulton, Miss"
a770,"Goodrich, Samuel G. (Samuel Griswold)"
a771,"Lewis, Sinclair"
a772,"Wright, Mabel Osgood"
a773,"Galton, Francis"
a774,"Bloomfield, Nathaniel"
a775,"Sinclair, Upton"
a776,"Graves, Charles L. (Charles Larcom)"
a777,"McCutcheon, George Barr"
a778,"Bennett, John"
a779,"Scott, Robert Falcon"
a780,"Jackson, George"
a781,"Lowndes, Marie Belloc"
a782,"Sedgwick, Susan Anne Livingston Ridley"
a783,"Pack, Charles Lathrop"
a784,"Rohmer, Sax"
a785,"Piper, Watty, pseud."
a786,"Hough, Emerson"
a787,"Hanna, Abigail Stanley"
a788,"Gissing, George"
a789,"Bell, Lilian"
a790,"Phillips, David Graham"
a791,"Brown, Goold"
a792,"Beers, Henry A. (Henry Augustin)"
a793,"Franklin, Miles"
a794,"Benson, Robert Hugh"
a795,"Gosse, Edmund"
a796,"Webster, Thomas"
a797,"Huckel, Oliver"
a798,"Wallas, Graham"
